Codigo;Nombre
5246;Comercio al por menor de equipo optico y de precision, en establecimientos especializados
5249;Comercio al por menor de otros nuevos productos de consumo ncp, en establecimientos especializados
5251;Comercio al por menor de articulos usados, en establecimientos especializados
5252;Actividades comerciales de las casas de empeno o compraventas
5261;Comercio al por menor a traves de casas de venta por correo
5262;Comercio al por menor en puestos moviles
5269;Otros tipos de comercio al por menor no realizado en establecimientos
5271;Reparacion de efectos personales
5272;Reparacion de enseres domesticos
5310;Actividades postales nacionales.
5320;Actividades de mensajería.
5511;Alojamiento en hoteles.
5512;Alojamiento en apartahoteles.
5513;Alojamiento en centros vacacionales.
5514;Alojamiento rural.
5519;Otros tipos de alojamientos para visitantes.
5520;Actividades de zonas de camping y parques para vehículo recreacionales.
5521;Expendio a la mesa de comidas preparadas en restaurantes
5522;Expendio a la mesa de comidas preparadas en cafeterias
5523;Expendio por autoservicio de comidas preparadas en restaurantes
5524;Expendio por autoservicio de comidas preparadas en cafeterias
5529;Otros tipos de expendio ncp de alimentos preparados
5530;Servicio por horas
5590;Otros tipos de alojamiento n.c.p.
5611;Expendio a la mesa de comidas preparadas.
5612;Expendio por autoservicio de comidas preparadas.
5613;Expendio de comidas preparadas en caféteras.
5619;Otros tipos de expendio de comidas preparadas n.c.p.
5621;Catering para eventos.
5629;Actividades de otros servicios de comidas.
5630;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento.
5811;Edición de libros.
5812;Edición de directorios y listas de correo.
5813;Edición de periódicos, revistas y otras publicaciones periódicas.
5819;Otros trabajos de edición.
5820;Edición de programas de informatica (software).
5911;Actividades de producción de pelulas cinematogrficas, videos, programas, anuncios y comerciales de televisión.
5912;Actividades de posproducción de pelulas cinematogrficas, videos, programas, anuncios y comerciales de televisión.
5913;Actividades de distribución de pelulas cinematogrficas, videos, programas, anuncios y comerciales de televisión.
5914;Actividades de exhibición de pelulas cinematogrficas y videos.
5920;Actividades de grabación de sonido y edición de msica.
6010;Actividades de programación y transmisión en el servicio de radiodifusión sonora.
6020;Actividades de programación y transmisión de televisión.
6021;Transporte urbano colectivo regular de pasajeros
6022;Transporte intermunicipal colectivo regular de pasajeros
6023;Transporte internacional colectivo regular de pasajeros
6031;Transporte no regular individual de pasajeros
6032;Transporte colectivo no regular de pasajeros
6039;Otros tipos de transporte no regular de pasajeros ncp
6041;Transporte municipal de carga, por carretera
6042;Transporte intermunicipal de carga, por carretera
6043;Transporte internacional de carga, por carretera
6044;Alquiler de vehiculos de carga con conductor
6050;Transporte por tuberias
6110;Actividades de telecomunicaciones almbricas.
6111;Transporte maritimo internacional
6112;Transporte maritimo de cabotaje
6120;Actividades de telecomunicaciones inalmbricas.
6130;Actividades de telecomunicación satelital.
6190;Otras actividades de telecomunicaciones.
6201;Actividades de desarrollo de sistemas informticos (planificación, anlisis, diseño, programación, pruebas).
6202;Actividades de consultor informatica y actividades de administración de instalaciones informaticas.
6209;Otras actividades de tecnologs de información y actividades de servicios informticos.
6211;Transporte regular nacional de pasajeros, por via aerea
6212;Transporte regular nacional de carga, por via aerea
6213;Transporte regular internacional de pasajeros, por via aerea
6214;Transporte regular internacional de carga, por via aerea
6220;Transporte no regular, por via aerea
6310;Manipulacion de carga
6311;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas.
6312;Portales web.
6320;Almacenamiento y deposito
6331;Actividades de estaciones de transporte terrestre
6332;Actividades de estaciones de transporte acuatico
6333;Actividades de aeropuertos
6339;Otras actividades complentarias del transporte
6340;Actividades de agencias de viajes y organizadores de viajes, actividades de asistencia a turistas ncp
6390;Actividades de otras agencias de transporte
6391;Actividades de agencias de noticias.
6399;Otras actividades de servicio de información n.c.p.
6411;Banco Central.
6412;Bancos comerciales.
6421;Actividades de las corporaciones financieras.
6422;Actividades de las compas de financiamiento.
6423;Banca de segundo piso.
6424;Actividades de las cooperativas financieras.
6426;Servicios relacionados con las telecomunicaciones
6429;Otros servicios de telecomunicaciones
6431;Fideicomisos, fondos y entidades financieras similares.
6432;Fondos de cesants.
6491;Leasing financiero (arrendamiento financiero).
6492;Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario.
6493;Actividades de compra de cartera o factoring.
6494;Otras actividades de distribución de fondos.
6495;Instituciones especiales oficiales.
6499;Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.
6511;Seguros generales.
6512;Seguros de vida.
6513;Reaseguros.
6514;Capitalización.
6515;Actividades de las companias de financiamiento comercial
6516;Actividades de las cooperativas de grado superior de caracter financiero
6519;Otros tipos de intermediacion monetaria ncp
6521;Servicios de seguros sociales de salud.
6522;Servicios de seguros sociales de riesgos profesionales.
6531;Régimen de prima media con prestación definida (RPM).
6532;Régimen de ahorro individual (RAI).
6591;Arrendamiento financiero (leasing)
6592;Actividades de las sociedades de fiducia
6593;Actividades de las cooperativas financieras y fondos de empleados
6594;Actividades de las sociedades de capitalizacion
6595;Actividades de compra de cartera (factoring)
6596;Otros tipos de credito
6599;Otros tipos de intermediacion financiera ncp
6601;Planes de seguros generales
6602;Planes de seguros de vida
6603;Planes de reaseguros
6604;Planes de pensiones y cesantias
6611;Administración de mercados financieros.
6612;Corretaje de valores y de contratos de productos básicos.
6613;Otras actividades relacionadas con el mercado de valores.
6614;Actividades de las casas de cambio.
6615;Actividades de los profesionales de compra y venta de divisas.
6619;Otras actividades auxiliares de las actividades de servicios financieros n.c.p.
6621;Actividades de agentes y corredores de seguros
6629;Evaluación de riesgos y daños, y otras actividades de servicios auxiliares
6630;Actividades de administración de fondos.
6711;Administracion de mercados financieros
6712;Actividades de las bolsas de valores
6713;Actividades de comisionistas y corredores de valores
6714;Otras actividades relacionadas con el mercado de valores
6715;Actividades de las casa de cambio
6716;Profesionales compra y venta de divisas en efectivo y de cheques de viajero
6719;Actividades auxiliares de la administracion financiera ncp
6721;Actividades auxiliares de los seguros
6722;Actividades auxiliares de los fondos de pensiones y cesantias
6810;Actividades inmobiliarias realizadas con bienes propios o arrendados.
6820;Actividades inmobiliarias realizadas a cambio de una retribución o por contrata.
6910;Actividades juricas.
6920;Actividades de contabilidad, tenedur de libros, auditor financiera y asesor tributaria.
7010;Actividades de administración empresarial.
7020;Actividades de consultar de gestión.
7110;Actividades de arquitectura e ingenier y otras actividades conexas de consultor técnica.
7111;Alquiler de equipo de transporte terrestre
7112;Alquiler de equipo de transporte acuatico
7113;Alquiler de equipo de transporte aereo
7120;Ensayos y anlisis tcnicos.
7121;Alquiler de maquinaria y equipo agropecuario
7122;Alquiler de maquinaria y equipo de construccion y de ingenieria civil
7123;Alquiler de maquinaria y equipo de oficina (incluso computadoras)
7129;Alquiler de otros tipos de maquinaria y equipo ncp
7130;Alquiler de efectos personales y enseres domesticos ncp
7210;Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingenier.
7220;Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades.
7230;Procesamiento de datos
7240;Actividades relacionadas con bases de datos
7250;Mantenimiento y reparacion de maquinaria de oficina, contabilidad e informatica
7290;Otras actividades de informatica
7310;Publicidad.
7320;Estudios de mercado y realización de encuestas de opinión pública.
7410;Actividades especializadas de diseño.
7411;Actividades juridicas
7412;Actividades de contabilidad, teneduria de libros y auditoria, asesoramiento en materia de impuestos
7413;Investigacion de mercados y realizacion de encuestas de opinion publica
7414;Actividades de asesoramiento empresarial y en materia de gestion
7420;Actividades de fotografía.
7421;Actividades de arquitectura e ingenieria y actividades conexas de asesoramiento tecnico
7422;Ensayos y analisis tecnicos
7430;Publicidad
7490;Otras actividades profesionales, cienticas y técnicas n.c.p.
7491;Obtencion y suministro de personal
7492;Actividades de investigacion y seguridad
7493;Actividades de limpieza de edificios
7494;Actividades de fotografia
7495;Actividades de envase y empaque
7499;Otras actividades empresariales ncp
7500;Actividades veterinarias.
7511;Actividades legislativas de la administracion publica en general
7512;Actividades ejecutivas de la administracion publica en general
7513;Regulacion de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social
7514;Actividades reguladoras y facilitadoras de la actividad economica
7515;Actividades auxiliares de servicios para la administracion publica en general
7521;Relaciones exteriores
7522;Actividades de defensa
7523;Actividades de la justicia
7524;Actividades de la policia y proteccion civil
7530;Actividades de seguridad social de afiliacion obligatoria
7710;Alquiler y arrendamiento de vehículo automotores.
7721;Alquiler y arrendamiento de equipo recreativo y deportivo.
7722;Alquiler de videos y discos.
7729;Alquiler y arrendamiento de otros efectos personales y enseres domsticos n.c.p.
7730;Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.
7740;Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor.
7810;Actividades de agencias de empleo.
7820;Actividades de agencias de empleo temporal.
7830;Otras actividades de suministro de recurso humano.
7911;Actividades de las agencias de viaje.
7912;Actividades de operadores turticos.
7990;Otros servicios de reserva y actividades relacionadas.
8010;Actividades de seguridad privada.
8011;Educacion preescolar
8012;Educacion basica primaria
8020;Actividades de servicios de sistemas de seguridad.
8021;Educacion basica secundaria
8022;Educacion media
8030;Actividades de detectives e investigadores privados.
8041;Establecimientos que prestan el servicio de educacion preescolar y basica primaria
8042;Establecimientos que prestan el servicio de educacion preescolar y basica (basica primaria y basica secundaria)
8043;Establecimientos que prestan el servicio de educacion preescolar, basica (basica primaria y basica secundaria ) y media
8044;Establecimientos que prestan el servicio de educacion basica (basica primaria y basica secundaria)
8045;Establecimientos que prestan el servicio de educacion basica (basica primaria y basica secundaria) y media
8046;Establecimientos que prestan el servicio de educacion basica secundaria y media
8050;Educacion superior
8060;Educacion no formal
8090;Otros tipos de educación
8110;Actividades combinadas de apoyo a instalaciones.
8121;Limpieza general interior de edificios.
8129;Otras actividades de limpieza de edificios e instalaciones industriales.
8130;Actividades de paisajismo y servicios de mantenimiento conexos.
8211;Actividades combinadas de servicios administrativos de oficina
8219;Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina.
8220;Actividades de centros de llamadas (Call center).
8230;Organización de convenciones y eventos comerciales.
8291;Actividades de agencias de cobranza y oficinas de calificación crediticia.
8292;Actividades de envase y empaque.
8299;Otras actividades de servicio de apoyo a las empresas n.c.p.
8411;Actividades legislativas de la administración pública.
8412;Actividades ejecutivas de la administración pública.
8413;Regulación de las actividades de organismos que prestan servicios de salud, educativos, culturales.y otros servicios sociales, excepto servicios de seguridad social.
8414;Actividades reguladoras y facilitadoras de la actividad económica.
8415;Actividades de los otros órganos de control.
8421;Relaciones exteriores.
8422;Actividades de defensa.
8423;Orden público y actividades de seguridad.
8424;Administración de justicia.
8430;Actividades de planes de seguridad social de afiliación obligatoria.
8511;Educación de la primera infancia.
8512;Educación preescolar.
8513;Educación basica primaria.
8514;Actividades de apoyo diagnostico
8515;Actividades de apoyo terapeutico
8519;Otras actividades relacionadas con la salud humana
8520;Actividades veterinarias
8521;Educación basica secundaria.
8522;Educación media acadmica.
8523;Educación media técnica y de formación laboral.
8530;Establecimientos que combinan diferentes niveles de educación.
8531;Servicios sociales con alojamiento
8532;Servicios sociales sin alojamiento
8541;Educación técnica profesional.
8542;Educación tecnológica.
8543;Educación de instituciones universitarias o de escuelas tecnológicas.
8544;Educación de universidades.
8551;Formación acadmica no formal.
8552;Enseñanza deportiva y recreativa.
8553;Enseñanza cultural.
8559;Otros tipos de educación n.c.p.
8560;Actividades de apoyo a la educación.
8610;Actividades de hospitales y clicas, con internación.
8621;Actividades de la práctica mdica, sin internación.
8622;Actividades de la práctica odontológica.
8691;Actividades de apoyo diagnótico.
8692;Actividades de apoyo teraputico.
8699;Otras actividades de atención de la salud humana.
8710;Actividades de atención residencial medicalizada de tipo general.
8720;Actividades de atención residencial, para el cuidado de pacientes con retardo mental, enfermedad mental y consumo de sustancias psicoactivas.
8730;Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas.
8790;Otras actividades de atención en instituciones con alojamiento.
8810;Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas.
8890;Otras actividades de asistencia social sin alojamiento.
9000;Eliminacion de desperdicios, y aguas residuales, saneamiento y actividades similares
9001;Creación literaria.
9002;Creación musical.
9003;Creación teatral.
9004;Creación audiovisual.
9005;Artes plsticas y visuales.
9006;Actividades teatrales.
9007;Actividades de espectculos musicales en vivo.
9008;Otras actividades de espectculos en vivo.
9101;Actividades de bibliotecas y archivos.
9102;Actividades y funcionamiento de museos, conservación de edificios y sitios históricos.
9103;Actividades de jardines botnicos, zoológicos y reservas naturales.
9111;Actividades de organizaciones empresariales y de empleadores
9112;Actividades de organizaciones profesionales
9120;Actividades de sindicatos
9191;Actividades de organizaciones religiosas
9192;Actividades de organizaciones politicas
9199;Actividades de otras organizaciones ncp
9200;Actividades de juegos de azar y apuestas.
9211;Produccion y distribucion de filmes y videocintas
9212;Exhibicion de filmes y videocintas
9213;Actividades de radio y television
9214;Actividades teatrales y musicales y otras actividades artisticas
9219;Otras actividades de entretenimiento ncp
9220;Actividades de agencias de noticias
9231;Actividades de bibliotecas y archivos
9232;Actividades de museos y preservacion de lugares y edificios historicos
9233;Actividades de jardines botanicos y zoologicos y de parques nacionales
9241;Actividades Deportivas
9242;Actividades de juegos de azar
9249;Otras actividades de esparcimiento
9301;Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco
9302;Peluqueria y otros tratamientos de belleza
9303;Pompas funebres y actividades conexas
9309;Otras actividades de servicios ncp
9311;Gestión de instalaciones deportivas.
9312;Actividades de clubes deportivos.
9319;Otras actividades deportivas.
9321;Actividades de parques de atracciones y parques temticos.
9329;Otras actividades recreativas y de esparcimiento n.c.p.
9411;Actividades de asociaciones empresariales y de empleadores
9412;Actividades de asociaciones profesionales
9420;Actividades de sindicatos de empleados.
9491;Actividades de asociaciones religiosas.
9492;Actividades de asociaciones policas.
9499;Actividades de otras asociaciones n.c.p.
9500;Hogares privados con servicio domestico
9511;Mantenimiento y reparación de computadores y de equipo perifrico.
9512;Mantenimiento y reparación de equipos de comunicación.
9521;Mantenimiento y reparación de aparatos electrónicos de consumo.
9522;Mantenimiento y reparación de aparatos y equipos domsticos y de jardiner.
9523;Reparación de calzado y articulos de cuero.
9524;Reparación de muebles y accesorios para el hogar.
9529;Mantenimiento y reparación de otros efectos personales y enseres domésticos.
9601;Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel.
9602;Peluquería y otros tratamientos de belleza.
9603;Pompas fúnebres y actividades relacionadas.
9609;Otras actividades de servicios personales n.c.p.
9700;Actividades de los hogares individuales como empleadores de personal doméstico.
9810;Actividades no diferenciadas de los hogares individuales como productores de bienes para uso propio.
9820;Actividades no diferenciadas de los hogares individuales como productores de servicios para uso propio.
9900;Actividades de organizaciones y entidades extraterritoriales.
